,Вакансия,Оплата_min,Оплата_max,Валюта,Сылка на вакансию,Источник
45,QA Automation Engineer (Python),,,,https://krasnodar.hh.ru/vacancy/48285869?from=vacancy_search_list&query=Python,https://hh.ru
46,"Разработчик (С++, Python)",150.0,,руб.,https://krasnodar.hh.ru/vacancy/47794928?from=vacancy_search_list&query=Python,https://hh.ru
47,Python Developer,3.0,4.0,USD,https://krasnodar.hh.ru/vacancy/47972165?from=vacancy_search_list&query=Python,https://hh.ru
48,Ведущий разработчик Python,200.0,,руб.,https://krasnodar.hh.ru/vacancy/47979179?from=vacancy_search_list&query=Python,https://hh.ru
49,Python developer,,,,https://krasnodar.hh.ru/vacancy/47678830?from=vacancy_search_list&query=Python,https://hh.ru
50,Senior Python Developer,4.0,5.0,USD,https://krasnodar.hh.ru/vacancy/47973163?from=vacancy_search_list&query=Python,https://hh.ru
51,Python (Django) программист Middle,,,,https://krasnodar.hh.ru/vacancy/47997389?from=vacancy_search_list&query=Python,https://hh.ru
52,Бэкенд-разработчик Python/Middle Python/ Python Developer (Remote),150.0,220.0,руб.,https://krasnodar.hh.ru/vacancy/48421483?from=vacancy_search_list&query=Python,https://hh.ru
53,"Python-разработчики (Django, team lead/senior)",300.0,,руб.,https://krasnodar.hh.ru/vacancy/47698442?from=vacancy_search_list&query=Python,https://hh.ru
54,Руководитель разработки платформы (Python),250.0,320.0,руб.,https://krasnodar.hh.ru/vacancy/47938157?from=vacancy_search_list&query=Python,https://hh.ru
55,Python developer,120.0,160.0,руб.,https://krasnodar.hh.ru/vacancy/48172711?from=vacancy_search_list&query=Python,https://hh.ru
56,Backend-разработчик (python),,,,https://krasnodar.hh.ru/vacancy/47764127?from=vacancy_search_list&query=Python,https://hh.ru
57,Python developer,70.0,,руб.,https://krasnodar.hh.ru/vacancy/46052473?from=vacancy_search_list&query=Python,https://hh.ru
58,Python Backend Developer (Middle),,300.0,руб.,https://krasnodar.hh.ru/vacancy/47814760?from=vacancy_search_list&query=Python,https://hh.ru
59,Разработчик python (middle),,,,https://krasnodar.hh.ru/vacancy/48469486?from=vacancy_search_list&query=Python,https://hh.ru
60,Python developer,,,,https://krasnodar.hh.ru/vacancy/47915680?from=vacancy_search_list&query=Python,https://hh.ru
61,Python developer,40.0,120.0,руб.,https://krasnodar.hh.ru/vacancy/47789586?from=vacancy_search_list&query=Python,https://hh.ru
62,Software Developer Python,60.0,180.0,руб.,https://krasnodar.hh.ru/vacancy/47830521?from=vacancy_search_list&query=Python,https://hh.ru
63,"Аналітик (SQL, Python)",,,,https://krasnodar.hh.ru/vacancy/48290871?from=vacancy_search_list&query=Python,https://hh.ru
64,Python Developer,,,,https://krasnodar.hh.ru/vacancy/46102356?from=vacancy_search_list&query=Python,https://hh.ru
65,Python-разработчик,200.0,300.0,руб.,https://krasnodar.hh.ru/vacancy/47499212?from=vacancy_search_list&query=Python,https://hh.ru
66,Python developer удаленно,180.0,230.0,руб.,https://krasnodar.hh.ru/vacancy/44476355?from=vacancy_search_list&query=Python,https://hh.ru
67,Программист Python,120.0,,руб.,https://krasnodar.hh.ru/vacancy/48437592?from=vacancy_search_list&query=Python,https://hh.ru
68,Junior Automation QA Engineer (Python),,,,https://krasnodar.hh.ru/vacancy/48416843?from=vacancy_search_list&query=Python,https://hh.ru
69,Python / Django developer,1.0,2.0,USD,https://krasnodar.hh.ru/vacancy/47731874?from=vacancy_search_list&query=Python,https://hh.ru
70,Python разработчик (ритейл),,,,https://krasnodar.hh.ru/vacancy/48475996?from=vacancy_search_list&query=Python,https://hh.ru
71,Python Developer/DevOps,,,,https://krasnodar.hh.ru/vacancy/48479693?from=vacancy_search_list&query=Python,https://hh.ru
72,Senior Backend Developer (Python),3.0,,USD,https://krasnodar.hh.ru/vacancy/48439217?from=vacancy_search_list&query=Python,https://hh.ru
73,Ведущий Python-разработчик,70.0,130.0,руб.,https://krasnodar.hh.ru/vacancy/48395103?from=vacancy_search_list&query=Python,https://hh.ru
74,Python Developer/DevOps,,,,https://krasnodar.hh.ru/vacancy/48478773?from=vacancy_search_list&query=Python,https://hh.ru
75,Python разработчик,,,,https://krasnodar.hh.ru/vacancy/48378145?from=vacancy_search_list&query=Python,https://hh.ru
